"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR142W",10175.5846820404,-4.01005052338863,0.53152375583816,-7.54444270710945,4.54225664125262e-14,5.4402550776509e-13
"YOR136W",1758.08077419165,-4.00922494330633,0.518624224830376,-7.73050071970243,1.07124384766392e-14,1.39383432451726e-13
"YJR073C",5522.82910878871,-4.00710119798698,0.402626612307006,-9.9524002524988,2.46172844143436e-23,1.02126053095737e-21
"YJR150C",23.6276103433469,-4.00661297861861,1.09863345577314,-3.64690603364071,0.000265416929697281,0.00073158975566535
"YPL201C",227.26419280011,-4.00390683615048,0.533307402838318,-7.50769033927012,6.01796489871367e-14,6.98840751422632e-13
"YCR091W",395.097037629857,-4.00269969944184,0.484619832420293,-8.25946325690288,1.46328967268496e-16,2.47118978646648e-15
"YGL121C",987.604611376325,-3.98994498432864,0.580659604006403,-6.87140100120456,6.35744046168926e-12,5.36028669266142e-11
"YLR304C",5985.55945800988,-3.98461335293081,0.417167869938947,-9.55158256438582,1.27729977617649e-21,4.22690243850312e-20
"YPL186C",1035.35092376232,-3.98116215052728,0.453871091206594,-8.77157022700775,1.76191763481766e-18,3.74980611871044e-17
"YPL004C",3287.28359796396,-3.97438855589409,0.423764109268795,-9.37877575982519,6.67431578510302e-21,2.01107672998499e-19
"YLR132C",46.0437966630433,-3.97255312028881,0.775165754633265,-5.12477892185555,2.97887066756178e-07,1.29197231604479e-06
"YGL047W",176.899793214244,-3.96890975907999,0.565484010585826,-7.01860651191234,2.24091894532804e-12,2.03316338542044e-11
"YAL017W",667.191490190909,-3.9683384046633,0.47519120869673,-8.35103497715574,6.76673770835354e-17,1.21822557799761e-15
"YDL101C",159.668296467733,-3.96783517152876,0.565856845525256,-7.01208300810716,2.34795822098372e-12,2.11353157470626e-11
"YDR380W",348.535592211123,-3.96678328949302,0.584635171768716,-6.78505755562426,1.16040240919404e-11,9.51762721008008e-11
"YOR215C",2051.01575673,-3.96493184101093,0.454925321069221,-8.7155663960231,2.89308589793406e-18,6.02287882388092e-17
"YPL166W",106.382668138429,-3.96185766495774,0.637948250008411,-6.2103119883243,5.28795093162977e-10,3.37497425680941e-09
"YNL077W",2127.50840098844,-3.96081703722588,0.409998419687741,-9.66056659496999,4.43404730243857e-22,1.57670315568079e-20
"YIR039C",188.075129958395,-3.95937070368146,0.557925612347838,-7.09659247765989,1.27870394750552e-12,1.20602637553033e-11
"YEL060C",7586.66214453136,-3.95566898949257,0.537597116559786,-7.35805469866701,1.86609584924095e-13,1.98465221786064e-12
"YIL026C",201.162739338915,-3.9433933973395,0.71581359931008,-5.50896686112173,3.60945842390543e-08,1.75865101930711e-07
"YOR173W",1940.66685220361,-3.9322883342392,0.496367511671129,-7.92213076355521,2.33474582643313e-15,3.31672949288577e-14
"YBR298C",15114.2439551473,-3.92417306721636,0.579783246309647,-6.76834505342117,1.30263792005393e-11,1.06233648038586e-10
"YPR124W",1190.57795683529,-3.92326457912784,0.443986687541182,-8.8364464278311,9.88113332232724e-19,2.22714520749305e-17
"YOL155C",2047.82019730275,-3.91911137335627,0.424019037336225,-9.24277220658989,2.40191956266055e-20,6.54809023630078e-19
"YPR006C",807.36436512701,-3.91293488192542,0.433972896514492,-9.01654207751833,1.94119874554876e-19,4.76968361298998e-18
"YKL182W",5407.31743857937,-3.91017647941511,0.422432001874222,-9.2563453101722,2.11549333193946e-20,5.82269198334298e-19
"YNR002C",635.150470911168,-3.89977299730057,0.587927655566658,-6.6330831019369,3.28746597046185e-11,2.52966971517394e-10
"YDR216W",2153.922603309,-3.89775956869486,0.418568447681871,-9.31211989408555,1.25305966238703e-20,3.64150587165775e-19
"YIL045W",1742.91511752864,-3.89334674520431,0.500367261267048,-7.78097818659327,7.19659047134209e-15,9.62628047860595e-14
"YIR036C",602.22314575299,-3.8862823436382,0.456262903048713,-8.51763822495838,1.62839944903244e-17,3.10752894857024e-16
"YBR067C",7551.36861165002,-3.88576104544171,0.578860532555524,-6.71277592253016,1.9095624494017e-11,1.51836736428122e-10
"YKR058W",344.859174619757,-3.88217950593762,0.564511595452185,-6.87705892529616,6.11008418280052e-12,5.17459052463506e-11
"YNL200C",830.248607348561,-3.88058859945359,0.548063711661526,-7.08054285821822,1.43590846559178e-12,1.34542978158968e-11
"YBR149W",2472.561408436,-3.88019521279962,0.418612683064731,-9.26917737989228,1.87587057303245e-20,5.27344176347668e-19
"YMR186W",8236.08601229598,-3.87459686787768,0.397423115911227,-9.74929920468733,1.85746050774238e-22,7.04235854756632e-21
"YHL024W",185.341996751445,-3.87330590655313,0.596274511863239,-6.49584349069328,8.25694628595063e-11,6.02178566714234e-10
"YBR053C",864.47352649805,-3.87289185029123,0.430542825187261,-8.99536962114454,2.35438642043384e-19,5.71138231228125e-18
"YPL147W",372.321282133799,-3.87194725722828,0.66711188332593,-5.80404479968851,6.47339684653258e-09,3.49294975932131e-08
"YGR157W",2076.27745572268,-3.87109262433122,0.417004274821403,-9.28310057730019,1.64617002228033e-20,4.66550662255193e-19
"YDL169C",506.070794485259,-3.86939314538481,0.513137457661095,-7.54065618795729,4.67612466555603e-14,5.57725285631423e-13
"YNR034W-A",8201.98547346963,-3.86608160104436,0.400750757708714,-9.64709742072261,5.05667265689368e-22,1.77603993624027e-20
"YKL085W",2422.66464116517,-3.86607735418579,0.418694129794191,-9.23365549950787,2.61550003014114e-20,7.09655813865311e-19
"YBR230W-A",121.989277357484,-3.86426598307366,0.609411155531268,-6.34098333776792,2.28303234252049e-10,1.5463317619164e-09
"YDR358W",463.225596898784,-3.86277404850274,0.479655093630183,-8.05323262444277,8.06354372191009e-16,1.24766994075501e-14
"YHR016C",465.154495765388,-3.85672990585591,0.453257436847859,-8.50891699136195,1.75565466118012e-17,3.31720228886343e-16
"YKL103C",721.028805095413,-3.85278922973954,0.435193273727624,-8.85305325778289,8.51570033859555e-19,1.9346184300976e-17
"YNR016C",3121.36400780285,-3.85104629797741,0.405648594212289,-9.49355267816369,2.232915702538e-21,7.06267535747517e-20
"YEL012W",1537.78463924316,-3.84447255390304,0.552805781033429,-6.95447241292608,3.53883878618403e-12,3.10544101773229e-11
"YGR292W",921.598025768951,-3.84411177425544,0.486087292327451,-7.90827457317248,2.60980702911801e-15,3.65309174613706e-14
"YBR299W",3464.89010352917,-3.84334109061747,0.438780117030581,-8.75915052082819,1.96727276436648e-18,4.15595445608787e-17
"YNL055C",7633.76965401943,-3.83613298397128,0.41237018295351,-9.30264394116913,1.36995851917611e-20,3.94121232275538e-19
"YBR056W",1130.98442814381,-3.83338879680106,0.44050261031581,-8.70230665387609,3.25205395453782e-18,6.69712549990253e-17
"YBR026C",3348.82511437581,-3.83322180910344,0.487917808508306,-7.85628592000488,3.95691259439833e-15,5.41945564663408e-14
"YJL045W",96.8709827327891,-3.83312775728418,0.79884017289142,-4.79836629073133,1.59965040226544e-06,6.28983417099563e-06
"YPR160W",3223.21779622629,-3.83029669708276,0.48029843168369,-7.97482657533488,1.52594938038232e-15,2.23428649685136e-14
"YAL005C",8715.45502597361,-3.82473247278024,0.486106604882177,-7.86809402375284,3.60084919633685e-15,4.95549558870877e-14
"YGR130C",1613.53901004849,-3.81887657659324,0.42828734509927,-8.9166224972351,4.80724952982169e-19,1.12793047369792e-17
"YGL062W",2558.85190779075,-3.81662239731984,0.471880864531762,-8.08810588474909,6.05997145216811e-16,9.63703793435068e-15
"YDR255C",400.440148142667,-3.81611734719527,0.512656390475142,-7.44381113372722,9.78213262716909e-14,1.10024969136627e-12
"YMR160W",247.050700674413,-3.81355826799697,0.513634908561827,-7.42464774965334,1.13080451040127e-13,1.24737106397828e-12
"YIL097W",641.317154471644,-3.81057078330335,0.483307120653457,-7.88436714557662,3.16133541805189e-15,4.41430372398708e-14
"YLR346C",101.515377259316,-3.8037100425316,0.796072051909044,-4.77809770285239,1.76961394651647e-06,6.92010918292813e-06
"YDL234C",2058.66277182704,-3.79879140440297,0.467381037503688,-8.1278252637132,4.37060627162738e-16,7.02857328794009e-15
"YDL215C",2228.45223198943,-3.79845457910869,0.457411958553473,-8.30423102867923,1.00467985647912e-16,1.73246752359728e-15
"YMR105C",1852.0274158017,-3.79668887297836,0.430170572163116,-8.82600791097049,1.08478358110964e-18,2.4259320319737e-17
"YAL061W",623.606419032553,-3.78673299904668,0.455080222843638,-8.32102299542859,8.72073267775308e-17,1.52679494128857e-15
"YOL147C",1645.963429955,-3.78392263346195,0.477949882691425,-7.91698621653378,2.43336710916952e-15,3.43128736453091e-14
"YBL039W-B",78.3734943984117,-3.78342279514421,0.653681772241601,-5.78786644481477,7.12860524490852e-09,3.82527997795541e-08
"YMR085W",539.317130247748,-3.78109807172021,0.676969034752594,-5.58533385962337,2.33251682057244e-08,1.17549813360715e-07
"YNCE0017W",313.882555113875,-3.77597529930761,0.50745210861128,-7.44104760869188,9.98899357862544e-14,1.11911914359355e-12
"YBL075C",4710.76680090529,-3.77463259235294,0.743653720693554,-5.07579332600206,3.85882554093316e-07,1.65357606450916e-06
"YMR006C",280.287114406027,-3.77430340479849,0.49375207392927,-7.64412668642109,2.10368207583456e-14,2.6411359395072e-13
"YGR236C",2558.76443688467,-3.76938399483726,1.67843244405464,-2.24577641369435,0.0247183328054318,0.0451395391741936
"YGR194C",342.264904445576,-3.75929229417743,0.480886700443924,-7.81741788805366,5.39178772197359e-15,7.31468831950209e-14
"YMR174C",1187.53694845649,-3.75764773659003,1.5658866424955,-2.39969333322979,0.0164088122213672,0.0314392402835768
"YGL059W",346.484200925795,-3.75692706543463,0.535058776405961,-7.02152217868521,2.19463969557234e-12,1.99750592323556e-11
"YBL015W",1511.9456644766,-3.74919862233284,0.46435321841812,-8.07402312210729,6.80189873324062e-16,1.07275124649594e-14
"YBL078C",1229.74240154879,-3.74784865813502,0.536254245038708,-6.9889398411466,2.76971143712042e-12,2.46987507437919e-11
"YBR280C",698.382399832864,-3.74605782398,0.538370224195718,-6.95814451769935,3.44783440390062e-12,3.03208171464378e-11
"YPL250C",589.988600570064,-3.73458129935199,0.487916448066234,-7.65414101974489,1.94608631264785e-14,2.45945786752957e-13
"YBR126C",1913.23074831474,-3.72362690396089,0.434676052228492,-8.56644134147866,1.0673222818158e-17,2.09980070907061e-16
"YOR386W",83.2599613672425,-3.7218743040763,0.622492902284567,-5.97898271677784,2.24535376157637e-09,1.29583168195814e-08
"YMR110C",2950.01796230771,-3.7191535070757,0.54484537678553,-6.82607151595541,8.72714364657671e-12,7.19926475167891e-11
"YDR497C",4582.73203306485,-3.71911454179317,0.465100891405723,-7.99636081227989,1.28150487596115e-15,1.9056143934747e-14
"YML118W",727.10829977445,-3.71728056811919,0.50934870512641,-7.29810546430394,2.91847845923752e-13,3.01050255479906e-12
"YPL165C",175.856552511671,-3.71369695580888,0.567783267771251,-6.54069460409857,6.12337601645483e-11,4.5586902073087e-10
"YHR136C",47.1323853446863,-3.7071552263968,0.823953036479689,-4.49923122103596,6.819964734233e-06,2.48087048149161e-05
"YHL021C",498.20513426394,-3.70653428843049,0.464111339753738,-7.98630408469919,1.3904445848632e-15,2.04634839288993e-14
"YJL048C",2927.2978898415,-3.70477661324046,0.543335220801848,-6.81858357677051,9.19424824137696e-12,7.56279758360389e-11
"YNL093W",465.460198382382,-3.70201580427065,0.520834142884997,-7.10785929617536,1.17856617404733e-12,1.12081251601678e-11
"YJL066C",1852.85248884598,-3.69818461989835,0.503359154996599,-7.34700975076799,2.02690087357935e-13,2.14096079358704e-12
"YNL037C",1378.22244691638,-3.69223460715029,0.526614787038279,-7.01126268769567,2.36176821841466e-12,2.12262528264112e-11
"YLR312C",476.678791444023,-3.69127158956959,0.652105807363736,-5.66054089365079,1.50896624216574e-08,7.7897490860224e-08
"YFR049W",644.998098198441,-3.68697216050578,0.438235159800728,-8.41322764285345,3.98879778253144e-17,7.27256920541162e-16
"YER103W",4590.01048331799,-3.68503550416764,1.60609595469684,-2.29440556984854,0.0217672135264592,0.0403292224721615
"YKL109W",1600.26889061875,-3.68345963942348,0.412395157633594,-8.93186927935796,4.18870254569102e-19,9.90922399755418e-18
"YOR027W",6109.81679097656,-3.68317314848821,0.404552667525955,-9.10431062292254,8.68160180112228e-20,2.1799197505011e-18
"YLR258W",1215.5575129727,-3.67760493457767,0.446144873777088,-8.24307338430869,1.67842559728876e-16,2.80964518844391e-15
"YMR104C",699.639295361784,-3.67258418066137,0.46632780449835,-7.87554193688308,3.39269051772217e-15,4.70294266681826e-14
"YOR185C",1357.08266786493,-3.67112592074283,0.466054670322042,-7.87702850012445,3.35258463009848e-15,4.65862791439656e-14
"YJL163C",308.925247711001,-3.66787813357282,0.651302224321321,-5.63160695082053,1.78538203901712e-08,9.12617158336875e-08
"YCR004C",1315.53589403173,-3.66085046636008,0.422642633169641,-8.661810662368,4.64329121353629e-18,9.32731305175272e-17
"YPL230W",530.843844080966,-3.64923768938135,0.599263534689092,-6.08953737069057,1.13237430905165e-09,6.94838469380565e-09
"YEL035C",26.671804239137,-3.64716117857041,0.974587412827774,-3.74226173103153,0.000182371423072386,0.00051944099357682
"YMR139W",546.432002684293,-3.64118636417646,0.481255409997697,-7.56601648217084,3.84843244320642e-14,4.64242072835006e-13
"YLR080W",144.448262710977,-3.64077053473122,0.601203128793398,-6.05580769687305,1.39714831592682e-09,8.38435441161538e-09
"YNL115C",894.044186181713,-3.63948955449023,0.607696254367224,-5.988994548403,2.11142240086614e-09,1.22347097621039e-08
